"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9063","Blog test","chromium","Mon Feb 10 18:32:08 EET 2025","passed","Mon Feb 10 18:32:17 EET 2025","Contact form and Blog test","blogAndContact.spec.ts","",""
"","12167","Contact form test","chromium","Mon Feb 10 18:32:08 EET 2025","passed","Mon Feb 10 18:32:20 EET 2025","Contact form and Blog test","blogAndContact.spec.ts","",""
